startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
"Overseed annonce une levée de fonds de 6,7M€ pour ses médicaments à base de cannabis","6,7M€",04/07/2024,https://www.jaimelesstartups.fr/news/overseed-annonce-une-levee-de-fonds-de-67me-pour-ses-medicaments-a-base-de-cannabis/,,,,,,
"Cognyx annonce une levée de fonds d’1,7 millions €",1700000,03/07/2024,https://www.jaimelesstartups.fr/news/cognyx-annonce-une-levee-de-fonds-d17-millions-e/,,,,,,
Karmen annonce l’obtention d’un crédit de 100 millions d’euros,100 millions d'euros,28/06/2024,https://www.jaimelesstartups.fr/news/karmen-annonce-lobtention-dun-credit-de-100-millions-deuros/,,,,,,
DPAM (Du Pareil Au Même) choisit Veesual améliorer ses ventes en ligne,5 millions,26/06/2024,https://www.jaimelesstartups.fr/news/dpam-du-pareil-au-meme-choisit-veesual-ameliorer-ses-ventes-en-ligne/,,,,,,
Agatos,500 000 €,26/06/2024,https://www.jaimelesstartups.fr/agatos-ia-specialisee-dans-les-soins-psychologique/,,,,,,
Etude HeyTeam : “36% des personnes ayant mis fin à leur période d’essai savaient dès la première semaine que l’entreprise n’était pas faite pour elle.”,10 000 000€,25/06/2024,https://www.jaimelesstartups.fr/news/36-des-personnes-ayant-mis-fin-a-leur-periode-dessai-savaient-des-la-premiere-semaine-que-lentreprise-netait-pas-faite-pour-elle/,,,,,,
"Le start-up studio de l’industrie OSS Ventures lève 8,5 millions d’euros",8.5 M€,21/06/2024,https://www.jaimelesstartups.fr/news/le-start-up-studio-de-lindustrie-oss-ventures-leve-85-millions-deuros/,,,,,,
Epresspack annonce une levée de 7 millions €,7 000 000 €,19/06/2024,https://www.jaimelesstartups.fr/news/epresspack-annonce-une-levee-de-7-millions-e/,,,,,,
code.store,500 000 €,19/06/2024,https://www.jaimelesstartups.fr/code-store/,,,,,,
Zeliq annonce un seed de 10 millions de $ pour son outils de prospection,9 millions d'euros,11/06/2024,https://www.jaimelesstartups.fr/news/zeliq-annonce-un-seed-de-10-millions-de-pour-son-outils-de-prospection/,,,,,,
"Mistral.ai : une levée de fonds record de 600 millions € propulse la valorisation de l’entreprise à 5,8 milliards €",600 millions €,11/06/2024,https://www.jaimelesstartups.fr/news/mistral-ai-une-levee-de-fonds-record-de-600-millions-e-propulse-la-valorisation-de-lentreprise-a-58-milliards-e/,,,,,,
Teamstarter lance l’Assistant d’idéation et l’Assistant rédactionnel,7 millions d'euros en 2019,10/06/2024,https://www.jaimelesstartups.fr/news/teamstarter-lance-lassistant-dideation-et-lassistant-redactionnel/,,,,,,
Café des Guerriers,100 000€,07/06/2024,https://www.jaimelesstartups.fr/cafe-des-guerriers-cafe-enrichis-en-champignons/,,,,,,
"La PropTech SEVENTEE lève 1,3 Millions d’euros pour sa plateforme de matching propriétaire/locataire","1,3 M€",07/06/2024,https://www.jaimelesstartups.fr/news/la-proptech-seventee-leve-13-millions-deuros-pour-sa-plateforme-de-matching-proprietaire-locataire/,,,,,,
DEEMEA lève 4 millions € pour son IA dédiée aux études cliniques,4000000,07/06/2024,https://www.jaimelesstartups.fr/news/deemea-leve-4-millions-e-pour-son-ia-dediee-aux-etudes-cliniques/,,,,,,
Showplace annonce une levée de fonds de 420 K€ pour accélérer son offre de Native Retail,420 000€,07/06/2024,https://www.jaimelesstartups.fr/news/showplace-annonce-une-levee-de-fonds-de-420-ke-pour-accelerer-son-offre-de-native-retail/,,,,,,
"CircularPlace annonce une levée de fonds de 1,4 million d’euros pour renforcer sa croissance et internationaliser sa solution","1,4 millions €",05/06/2024,https://www.jaimelesstartups.fr/news/circularplace-annonce-une-levee-de-fonds-de-14-million-deuros-pour-renforcer-sa-croissance-et-internationaliser-sa-solution/,,,,,,
Seelab.ai annonce une levée de fonds d’1 millions € pour son IA de création d’images,1 000 000 €,05/06/2024,https://www.jaimelesstartups.fr/news/seelab-ai-annonce-une-levee-de-fonds-d1-millions-e-pour-son-ia-de-creation-dimages/,,,,,,
"Nova Carbon lève 1,4 millions d’euros pour recycler la fibre de carbone","1,4 M€",04/06/2024,https://www.jaimelesstartups.fr/news/nova-carbon-leve-14-millions-deuros-pour-recycler-la-fibre-de-carbone/,,,,,,
Enky,"1,6 millions d'euros",03/06/2024,https://www.jaimelesstartups.fr/enky-solution-ameublement-par-abonnement/,,,,,,
CUSTOCY est élu « Produit de l’année » au Paris Cyber Show,3 000 000,30/05/2024,https://www.jaimelesstartups.fr/news/custocy-est-elu-produit-de-lannee-au-paris-cyber-show/,,,,,,
Lyophitech annone une levée de fonds de 3 millions €,3 000 000 €,29/05/2024,https://www.jaimelesstartups.fr/news/lyophitech-annone-une-levee-de-fonds-de-3-millions-e/,,,,,,
Qonto lance Qonto Embed pour favoriser les partenariats avec d’autres fintech,"Depuis sa création, Qonto a levé un total de 622 millions d'euros auprès d’investisseurs reconnus.",28/05/2024,https://www.jaimelesstartups.fr/news/qonto-lance-qonto-embed-pour-favoriser-les-partenariats-avec-dautres-fintech/,,,,,,
