startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Boost My Mail,En cours . NC,06/05/2019,https://www.jaimelesstartups.fr/boost-my-mail-solution-signature-email/,Levée de fonds : En cours . NC,"Fondateurs : Arnaud Guillet, Antoine Girard",Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Boost%20My%20Mail,https://www.linkedin.com/company/boost-my-mail/?viewAsMember=true,https://www.facebook.com/BoostMyMail/,,,,LA PROPOSITION DE LA STARTUP BOOST MY MAIL EST SIMPLE : CRÉER RAPIDEMENT ET FACILEMENT UNE SIGNATURE POUR VOS EMAILS.
Early Birds,5 millions €,10/05/2019,https://www.jaimelesstartups.fr/news/early-birds-rachat-attraqt/,Levée de fonds : 5 millions €,"Fondateurs : Laetitia Comès-Bancaud, Nicolas Mathon",Nombre d'employés : 26,https://www.early-birds.io/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/early-birds/,https://www.facebook.com/EarlyBirdsEN/,,,,"ATTRAQT SUR LE POINT D’ACQUÉRIR EARLY BIRDS, LEADER DE LA PERSONNALISATION OMNICANALE"
TEEKERS,400 KE,05/06/2019,https://www.jaimelesstartups.fr/teekers-ecommerce-digitalisation-local/,Levée de fonds : 400 KE,Fondateurs : TONON et QUARJOUANE,Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TEEKERS,https://www.instagram.com/teekers_fr/,https://www.facebook.com/AssistantTeekers/,,,,LA STARTUP TEEKERS A MIS AU POINT UNE SOLUTION POUR METTRE EN LIGNE LES BOUTIQUES DES COMMERÇANTS À PROXIMITÉ DE CHEZ VOUS.
WAOUP,"2,5 millions d'euros",29/05/2019,https://www.jaimelesstartups.fr/news/waoup-levee-de-fonds/,"Levée de fonds : 2,5 millions d'euros","Fondateurs : Emmanuel GONON, Hervé KLECZEWSKI",Nombre d'employés : 20,https://www.waoup.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/waoup,,,,,"WAOUP LÈVE 2,5 MILLIONS D'EUROS POUR DÉMULTIPLIER LA CRÉATION DE BUSINESS INNOVANTS"
Pixpay,"3,1 millions",27/05/2019,https://www.jaimelesstartups.fr/pixpay-appli-carte-bancaire-argent-de-poche/,"Levée de fonds : 3,1 millions","Fondateurs : Caroline Menager, Benoit Grassin, Nicolas Klein",Nombre d'employés : Moins de 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Pixpay,https://www.linkedin.com/company/pixpay-app,https://www.facebook.com/PixpayApp/,,,,LA STARTUP PIXPAY A CRÉÉ UNE APPLI ET UNE CARTE BANCAIRE POUR QUE LES ADOS APPRENNENT À GÉRER LEUR ARGENT DE POCHE ET UNE INTERFACE POUR QUE LES PARENTS PUISSE CONTRÔLER UN PEU.
Goshaba,2 millions d'euros,05/06/2019,https://www.jaimelesstartups.fr/news/goshaba-levee-de-fonds/,Levée de fonds : 2 millions d'euros,"Fondateurs : Camille Morvan, Djamil Kemal, Minh Phan",Nombre d'employés : 14,https://goshaba.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/goshaba/,,,,,GOSHABA LÈVE 2 MILLIONS D'EUROS POUR FAIRE DISPARAÎTRE LE CV
Eva,500 000 $,20/05/2019,https://www.jaimelesstartups.fr/eva-vtc-ethique-cooperative/,Levée de fonds : 500 000 $,Fondateurs : Raphaël Gaudreault et Dardan Isufi,Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Eva,https://www.linkedin.com/company/evacoopglobal/,https://www.facebook.com/Eva.coop.OFFICIAL/,,,,LA STARTUP EVA S’ATTAQUE AU MARCHÉ DU VTC EN PRENANT LE PARI DE L’ENTREPRISE ÉTHIQUE ET COOPÉRATIVE.
Mindsay,10M$,29/05/2019,https://www.jaimelesstartups.fr/news/mindsay-levee-de-fonds/,Levée de fonds : 10M$,"Fondateurs : Guillaume Laporte, Ilias Hicham et Pierre Pakey",,http://https//www.mindsay.com/?utm_source=JaimeLesStartups,,,,,,MINDSAY LÈVE 10 M$ POUR DÉPLOYER SA SOLUTION D’INTELLIGENCE ARTIFICIELLE AU SERVICE DE LA RELATION CLIENT EN EUROPE ET EN AMÉRIQUE DU NORD
Data Legal Drive,1000000,21/05/2019,https://www.jaimelesstartups.fr/data-legal-drive-outil-pour-appliquer-rgpd/,Levée de fonds : 1000000,Fondateurs : Sylvain Staub,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Data%20Legal%20Drive,https://www.linkedin.com/company/data-legal-drive/,,,,,LA STARTUP DATA LEGAL DRIVE A CRÉÉ UN OUTIL SAAS POUR METTRE EN PLACE LES DIRECTIVES DE LA RGPD DANS VOTRE ENTREPRISE :
CO-ASSIST,2.5M,20/05/2019,https://www.jaimelesstartups.fr/co-assist-montre-connectee-assistance-triosieme-age/,Levée de fonds : 2.5M,Fondateurs : Pierre-Yves CHAMPAGNE et Jean GUERIN,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=CO-ASSIST,https://www.linkedin.com/company/10047735/,https://www.facebook.com/Co-assist-355209548022702/?ref=bookmarks,,,,LA STARTUP CO-ASSIST A CRÉÉ UNE MONTRE CONNECTÉE DESTINÉE À ALERTER LORSQUE SON PROPRIÉTAIRE EST EN DIFFICULTÉ !
